Gästeübernachtungen (absolut und pro 1.000 EinwohnerInnen) seit 2002 - Bezirke Wien | Overnight stays (absolute and per 1,000 inhabitants) since 2002 - districts of Vienna;;;;;;;;;;;;;;
NUTS;DISTRICT_CODE;SUB_DISTRICT_CODE;REF_YEAR;REF_DATE;TOU_VALUE;TOU_DENSITY;POP_AVE;;;;;;;
AT13;92100;92100;2010;20101231; 29.955 ; 211,73 ; 141.476 ;;;;;;;
AT13;92200;92200;2010;20101231; 512.065 ; 3.268,67 ; 156.659 ;;;;;;;
AT13;92300;92300;2010;20101231; 71.542 ; 769,94 ; 92.919 ;;;;;;;
AT13;90000;90000;2011;20111231; 11.405.048 ; 6.675,03 ; 1.708.615 ;;;;;;;
AT13;90100;90100;2011;20111231; 2.047.280 ; 124.859,84 ; 16.397 ;;;;;;;
AT13;90200;90200;2011;20111231; 1.302.447 ; 13.616,23 ; 95.654 ;;;;;;;
AT13;90300;90300;2011;20111231; 1.178.340 ; 14.006,83 ; 84.126 ;;;;;;;
AT13;90400;90400;2011;20111231; 583.575 ; 19.085,03 ; 30.578 ;;;;;;;
AT13;90500;90500;2011;20111231; 392.326 ; 7.454,31 ; 52.631 ;;;;;;;
AT13;90600;90600;2011;20111231; 632.651 ; 21.590,89 ; 29.302 ;;;;;;;
AT13;90700;90700;2011;20111231; 763.228 ; 25.421,13 ; 30.023 ;;;;;;;
AT13;90800;90800;2011;20111231; 383.484 ; 16.360,15 ; 23.440 ;;;;;;;
AT13;90900;90900;2011;20111231; 454.227 ; 11.574,21 ; 39.245 ;;;;;;;
AT13;91000;91000;2011;20111231; 737.000 ; 4.152,86 ; 177.468 ;;;;;;;
AT13;91100;91100;2011;20111231; 109.124 ; 1.202,17 ; 90.772 ;;;;;;;
AT13;91200;91200;2011;20111231; 234.668 ; 2.655,92 ; 88.357 ;;;;;;;
AT13;91300;91300;2011;20111231; 140.898 ; 2.775,37 ; 50.767 ;;;;;;;
AT13;91400;91400;2011;20111231; 298.429 ; 3.521,08 ; 84.755 ;;;;;;;
AT13;91500;91500;2011;20111231; 684.508 ; 9.592,29 ; 71.360 ;;;;;;;
AT13;91600;91600;2011;20111231; 172.767 ; 1.812,66 ; 95.311 ;;;;;;;
AT13;91700;91700;2011;20111231; 323.966 ; 6.182,03 ; 52.405 ;;;;;;;
AT13;91800;91800;2011;20111231; 43.345 ; 912,08 ; 47.523 ;;;;;;;
